,Accounts Payable,Adjustments To Net Income,Capital Expenditure,Capital Surplus,Cash And Cash Equivalents,Change In Cash and Cash Equivalents,Changes In Accounts Receivables,Changes In Inventories,Changes In Liabilities,Changes In Other Operating Activities,Common Stock,Cost of Revenue,Deferred Long Term Asset Charges,Deferred Long Term Liability Charges,Depreciation,Discontinued Operations,Dividends Paid,Earnings Before Interest and Taxes,Effect Of Exchange Rate Changes,Goodwill,Gross Profit,Income Before Tax,Income Tax Expense,Intangible Assets,Interest Expense,Inventory,Investments,Long Term Debt,Long Term Investments,Minority Interest,Net Borrowings,Net Income Applicable To Common Shares,Net Income From Continuing Ops,Net Income,Net Receivables,Net Tangible Assets,Operating Income or Loss,Other Assets,Other Cash Flows from Financing Activities,Other Cash flows from Investing Activities,Other Current Assets,Other Current Liabilities,Other Liabilities,Other Stockholder Equity,Others,"Property, plant and equipment",Research Development,Retained Earnings,Selling General and Administrative,Short Term Investments,Short/Current Long Term Debt,Total Assets,Total Cash Flow From Operating Activities,Total Cash Flows From Financing Activities,Total Cash Flows From Investing Activities,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Operating Expenses,Total Other Income/Expenses Net,Total Revenue,Treasury Stock,ask,askSize,averageDailyVolume10Day,averageDailyVolume3Month,bid,bidSize,bookValue,earningsTimestamp,earningsTimestampEnd,earningsTimestampStart,epsForward,epsTrailingTwelveMonths,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,fiftyTwoWeekHigh,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,forwardPE,marketCap,priceHint,priceToBook,regularMarketChange,regularMarketChangePercent,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,regularMarketTime,regularMarketVolume,sharesOutstanding,sourceInterval,Total stockholders' equity,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,turnover,debtToEquity,returnOnEquity,priceToRevenue
LBRT,80490,138964,-258835,312659,103312,86991,11978,-4610,-26498,-32771,1136,1628753,,,125110,,-,302221,,,526383,289418,40385,,-17145,60024,,106139,,-,-92847,126349,249033,135054,247961,433069,302221,28227,-25724,,,67771,49812,,,627053,,119274,99052,,385,1116501,351258,-8775,-255492,461221,219736,375687,1852915,-12803,2155136,,11.03,8,1212750,823335,11.01,13,6.893,1564531200,,,1.38,1.34,11.156286,-0.09128666,-0.008182531,23.51,-12.445001,-0.5293492,9.85,1.2149992,0.123350166,8.018116,1245078016,2,1.6052517,-0.015000343,-0.13538216,11.13,10.96,11.09,11.08,11.065,1569336420,121622,75144096,15,433069,0.2,0.018050542,8.2574625,14.072754,-3.0077543,-0.2137289,0.010956749017248142,0.8674991744964429,0.3118533074406157,577.7259606818317
LTC,,-75351,,862712,2656,-449,-5682,,,1940,397,84,,17432,37555,,-90372,109550,,,166385,155076,,,-30196,,-670,645029,30615,7481,-22666,154356,155076,154981,107304,825490,109550,260371,-465,3724,9923,,,-37619,,1102751,,,19193,,,1513620,115535,-112375,-3609,119883,35620,680649,56919,48390,166469,-37619,50.59,8,226483,193767,50.52,8,19.603,1565308800,1573232400.0,1572883140.0,2.19,2.667,48.902573,1.712429,0.035017155,51.14,-0.5249977,-0.010265892,40.11,10.505001,0.26190478,23.111872,2012057728,2,2.5820026,0.36500168,0.7263715,50.6399,50.3317,50.49,50.25,50.615,1569336341,27194,39752200,15,825490,2.28,0.045373134,18.978252,46.445217,4.1697845,0.08977856,0.004874371732885224,0.8245393644986614,0.1877442488703679,12086.681171869837
MATW,70044,-22371,-43200,129252,41572,-15943,-790,-2869,2516,-3284,-,1018230,1837,,76974,,-24637,135834,-2082,948894,584350,97993,-9118,443910,-37427,180451,-2776,929342,52872,363,53022,107371,107111,107371,331463,-524453,135834,60611,-,,59070,150764,273286,-164298,,252775,,1040378,416954,,31260,2375485,147574,901,-162336,616423,304143,1506771,1466746,-37841,1602580,-337613,34.79,8,229216,133231,34.66,8,26.894,1564704000,1574096400.0,1573660740.0,3.64,1.984,31.884857,3.1851425,0.09989515,50.6,-15.529999,-0.30691698,28.57,6.5,0.22751138,9.634615,1104301696,2,1.3040084,0.7750015,2.2598093,35.145,34.3,34.3,34.295,35.07,1569336071,63706,31488500,15,868351,0.8,0.023327017,17.67641,35.00949,0.060508728,0.0017283522,0.004231100242945838,1.735209609938838,0.12364930771082201,689.0774226559672
MDC,50505,42975,-27166,1168442,414724,-44101,-4638,-316332,49325,-11342,566,2452184,37178,7662,21326,,-67718,283231,,-,613032,263854,53074,2133,,2132994,47380,1002967,,,4475,209521,210780,210780,52982,1567859,283231,45835,-3026,,30168,79872,,,,56034,,406992,329801,,,3001077,-7906,-56409,20214,2877334,422110,1425077,2781985,-19377,3065216,,42.76,8,578700,488134,42.73,10,26.826,1564576200,1572888600.0,1572453000.0,4.18,3.228,38.36714,4.3528595,0.11345279,44.01,-1.2899971,-0.029311456,25.14,17.580002,0.6992841,10.220097,2646700544,2,1.592485,0.3899994,0.92133087,42.81,42.5545,42.64,42.33,42.72,1569336450,86511,61954600,15,1576000,1.155,0.027285611,13.234201,33.881306,8.838696,0.26087233,0.007878898419165002,0.9042366751269035,0.13374365482233502,863.4629807491543
MEI,91900,8800,-49800,150400,83200,-162900,1500,-3900,-23100,-16700,19200,726100,34300,32800,43300,,-16300,132600,-11500,233300,274200,103600,12000,264900,-8300,116700,,276900,,,238500,91600,91600,91600,234400,191500,132600,88100,-,,,19300,84200,-13600,,191900,,545200,125500,,,1231700,102000,217400,-470800,453500,180900,542000,867700,-29000,1000300,-25100,34.11,9,349683,240610,33.98,9,19.258,1567096200,1575916200.0,1575484200.0,3.69,2.55,30.797428,3.1525726,0.1023648,37.42,-3.4699974,-0.092731096,20.99,12.960001,0.61743695,9.200542,1259256448,2,1.7629038,-0.25,-0.73099416,34.7538,33.95,34.59,34.2,33.95,1569336357,19334,37091500,15,689700,0.44,0.012865497,13.313726,29.015217,4.934784,0.17007571,0.006486930968011539,0.7858489198202117,0.13281136726112802,1258.8787843646905
MGRC,90844,-14339,-96949,,1508,-993,-15725,,20681,-9351,103801,265040,,,8836,,-30939,117520,-102,-,233290,104695,25289,7254,-12297,,,298564,,,-4870,79406,79406,79406,121016,536473,117520,901015,,,,,256373,-49,,126899,,467783,115770,,,1217316,142667,-39066,-104492,154340,90844,645781,380810,-12825,498330,-49,69.57,9,92283,95357,69.26,11,24.422,1564531200,1572624000.0,1572274740.0,3.78,3.54,65.83829,3.801712,0.05774318,70.88,-1.2399979,-0.017494326,45.85,23.79,0.5188659,18.42328,1688985856,2,2.8515272,0.80000305,1.1621195,69.9,69.17,69.17,68.84,69.64,1569336405,10615,24253100,15,571535,1.43,0.020772807,19.672316,61.897972,7.7420273,0.12507723,0.00393174480788023,1.129906304950703,0.13893462342638682,3389.291947103325
MLI,103754,21583,-38481,276849,72616,-49425,-11342,27512,,-14193,-,2148200,,,39555,,-22705,174149,-1952,150335,359678,137772,30952,61971,-25199,329795,-1609,489597,58042,14904,29316,104459,106820,104459,273417,336050,174149,25950,-1318,1968,26790,25397,83891,-79792,,370633,,824737,145974,,7101,1369549,167892,-28269,-187096,702618,232801,806289,2333729,-36377,2507878,-554032,28.6,9,294066,247982,28.53,30,10.383,1563879600,1572021000.0,1571675400.0,1.88,1.6,27.242285,1.4377155,0.052775145,34.24,-5.5600014,-0.16238321,21.49,7.1900005,0.33457425,15.25532,1625189504,2,2.7622073,-0.22999954,-0.79557085,28.915,28.555,28.91,28.91,28.68,1569336445,25247,56666300,15,548356,0.4,0.013836043,17.925,28.982391,-0.30239105,-0.010433613,0.004376181257643432,1.4703750847989263,0.19049486100270627,648.0337177486305
MOV,38650,-7818,-10635,201814,189911,-24952,-2640,-4234,6082,13739,342,309609,24503,,10965,,-18469,77297,-5801,136033,369958,61733,162,48183,-771,165311,,50280,,-,25296,61624,61571,61624,84026,312439,77297,81272,-689,,23166,13690,96362,80507,,26067,,431180,289761,332,,759701,86170,3688,-109009,468146,112683,259325,602270,-15564,679567,-136681,24.07,11,206383,217873,24.02,9,21.753,1567009800,1575657000.0,1575311400.0,2.36,2.804,23.934,0.035999298,0.001504107,44.39,-20.42,-0.46001354,18.78,5.1899986,0.27635774,10.15678,551302784,2,1.1019169,-0.060001373,-0.24969359,24.5,23.9,24.11,24.03,23.97,1569336450,32733,16411800,15,496655,0.8,0.03329172,8.548502,28.91855,-4.948551,-0.1711203,0.013275387221389488,0.5221431375904804,0.12407808237106241,811.2559674027726
MTX,169100,42400,-75900,431900,208800,-3400,-3000,-14700,-11200,-65800,-,1346200,26300,,94300,,-7100,253700,-11200,812400,461400,207600,34400,214100,-48600,239200,-1600,910200,2700,31800,32700,169000,173200,169000,387300,327000,253700,78700,-2700,-900,5200,56200,409700,-233700,,1102900,22700,1769100,185000,3800,3300,3087100,203600,4200,-200000,876300,381900,1701800,1553900,-46100,1807600,-852400,53.36,8,242466,187684,53.17,8,39.669,1572555600,1572886800.0,1572447540.0,4.57,4.252,50.00086,3.2891426,0.06578172,68.86,-15.57,-0.22611095,45.26,8.030003,0.17741942,11.660831,1868486016,2,1.3433664,-0.16999817,-0.31799135,53.875,53.08,53.63,53.46,53.29,1569336433,16322,35062600,15,1353500,0.2,0.0037411149,12.532927,55.32116,-2.0311584,-0.03671576,0.00535282608819654,1.2573328407831548,0.12486147026228298,1033.6833458729807
NWE,87043,-9584,-283966,1499070,7860,3282,19909,1617,-3805,-2233,539,272883,,437581,174476,,-109202,266272,,-,919126,178250,-18710,,-91988,50815,-,2102345,-,,-11556,196960,196960,196960,162373,1584796,266272,469587,-91,,56637,40876,1232725,-9934,171259,4521318,,548253,307119,,,5644376,381985,-73804,-304899,277685,347009,3701994,925737,-88022,1192009,-105480,75.48,8,371450,320782,75.39,9,39.849,1572480000,1563825600.0,1563393600.0,3.6,4.252,71.80315,3.7368546,0.052043047,75.61,-0.069999695,-0.0009257994,56.23,19.310001,0.34341103,20.983334,3810456832,2,1.8956562,0.7099991,0.94881606,75.61,74.93,75.03,74.83,75.54,1569336410,30680,50442900,15,1942382,2.25,0.030068154,17.765759,71.3129,4.227104,0.059275452,0.006359309238763037,1.9059041939227197,0.10140126916332627,3196.667837239484
OXM,81612,11224,-37043,142976,8327,1984,-1560,-36518,,14026,16959,476124,,1000,42490,,-23054,95586,-231,66621,631342,88309,22018,176176,-2283,160656,,12993,,,-32816,66291,66291,66291,69037,235558,95586,22093,,,1800,14800,93697,-5095,-13976,192576,,323515,549732,,,727254,96377,-56765,-37397,269788,142209,248899,1011880,-7277,1107466,-5095,70.07,8,178633,197807,69.62,9,30.964,1568246400,1576515600.0,1575993540.0,4.58,4.154,69.832,0.07299805,0.001045338,93.52,-23.614998,-0.2525128,63.5,6.404999,0.100866124,15.263101,1189720192,2,2.2576218,-0.5149994,-0.7313255,71.135,69.62,70.81,70.42,69.905,1569336025,17958,17019100,15,478355,1.42,0.020164726,16.82836,73.82456,-3.9195633,-0.05309294,0.011622647496048558,0.5203227728360736,0.1385811792497204,1074.2724309369316
PRIM,249217,8104,-110189,144048,151063,-19322,-46681,,5677,3004,-,2613741,1457,,79250,,-12343,143731,-,206159,325737,113358,25765,81198,-18746,,,308498,,2763,110241,77461,87593,77461,711225,316863,143731,6459,-15457,,25715,208221,56852,-908,,375884,,461075,182006,,62488,1594147,126815,63939,-209152,924447,621814,987164,2795747,-30373,2939478,-908,19.62,12,199866,178975,19.55,8,12.177,1565109000,1573237800.0,1572892200.0,2.14,1.655,19.684,-0.2140007,-0.01087181,25.37,-5.9000015,-0.23255819,17.8,1.6700001,0.09382024,9.09813,992621440,2,1.5989159,-0.25500107,-1.2927811,19.835,19.47,19.7,19.725,19.47,1569336374,24604,50982100,15,604220,0.24,0.0121673,11.76435,20.44058,-0.97058105,-0.04748305,0.00351054585825221,1.6337823971401144,0.12819999337989474,337.68629668260826
RDN,708610,168572,-26008,2724733,95393,10758,-4599,,15419,-171184,231,228030,131643,,52167,,-2140,754210,,14092,1044976,684186,78175,113584,-61490,,-658032,894056,4155555,,74704,606011,606011,606011,143075,3378350,754210,279872,-1510,2590,72588,830757,100539,-60920,278337,37090,,1719541,,516704,218824,6314652,677786,22386,-689414,1714459,1831342,2825937,518796,-70024,1273006,-955790,23.61,9,1229533,1302871,23.6,8,18.419,1564617600,1572888600.0,1572366600.0,3.13,2.849,22.816572,0.8634281,0.037842147,24.62,-0.94000053,-0.038180362,14.78,8.900001,0.60216516,7.565495,4813693952,2,1.2856289,0.20000076,0.851792,23.685,23.47,23.48,23.48,23.68,1569336418,121899,203280992,15,3488715,0.01,0.00042589437,8.311688,22.654638,1.025362,0.04526058,0.0064092121313536286,0.8100223148064545,0.17370607802586338,3781.3599873056373
RECN,21634,14098,-6896,460226,43045,-13425,-5690,,-1469,1058,631,446560,1497,800,8478,,-16158,49569,-568,190815,282439,47969,16499,14589,-2190,,-,43000,,,-20000,31470,31470,31470,135528,76992,49569,4677,-1860,,,11154,11558,-12588,,26632,,350230,224392,5981,,428370,43621,-43601,-12877,191657,91416,145974,679430,-1600,728999,-528691,17.85,9,185583,151264,17.83,9,8.94,1570060800,1570060800.0,1570060800.0,1.11,0.98,16.922,0.9379997,0.05543078,19.5,-1.6399994,-0.084102534,12.72,5.1400003,0.40408808,16.09009,568794560,2,1.997763,0.15999985,0.9039539,17.9,17.645,17.76,17.7,17.86,1569335719,9519,31847400,15,282396,0.52,0.02937853,18.22449,16.40652,1.4534798,0.08859159,0.0047496498929268955,0.5169124208558195,0.11143925551353419,780.2405215919364
RGR,11675,1243,-10541,33291,38492,-24995,15051,8479,6189,2605,24123,360546,2969,,31972,,-19201,67730,,,135089,68714,17781,2464,-330,31420,-,,,,,50933,50933,50933,45031,261778,67730,18168,,,,11890,99,,,82711,,350423,67359,114326,,335532,119812,-20017,-124790,232189,71191,71290,427905,984,495635,-,41.22,10,163983,177118,41.08,8,15.776,1564617600,1572886800.0,1572361140.0,3.66,2.292,42.316,-1.2060013,-0.028499886,70.0,-28.89,-0.41271427,39.31,1.7999992,0.045789853,11.232241,718820672,2,2.6058571,-0.3899994,-0.9397576,41.7874,41.01,41.68,41.5,41.11,1569336428,26139,17485300,15,264242,0.92,0.022168675,17.9363,50.39732,-9.287319,-0.184282,0.010129537382830149,0.26979057076467783,0.19275134157325483,1450.3024846913556
RMR,23316,125659,-648,99239,256848,148208,,,3142,-7036,-,,25726,,10376,,-16169,257138,-6,-,351827,276288,58862,375,,,,,7051,201899,,95477,217426,96041,28846,230528,257138,196468,-62452,,,5,41460,82,-53152,2589,,133410,146593,,,504428,228470,-79608,-648,296086,28307,69767,94689,19150,351827,82,45.29,9,116266,215623,45.1,9,17.579,1565362740,1502452800.0,1502103540.0,2.32,4.582,46.005142,-0.71014404,-0.015436188,95.12,-49.825005,-0.52381206,41.69,3.6049995,0.086471565,19.523706,1414852736,2,2.5766537,-0.46500015,-1.0161717,45.87,45.1,45.78,45.76,45.295,1569335819,5304,15236400,15,232762,1.4,0.030594407,9.885422,52.250652,-6.955654,-0.13312091,0.014151833766506524,0.29973535199044515,0.41261460203985184,4021.4444485499976
SCHN,128495,-19353,-77626,36929,4723,-2564,-44941,-24280,26049,17833,26702,2010485,30333,,49672,346,-20736,145353,-701,168065,354230,141853,-17590,4358,-8983,205877,11,100491,11532,4032,-40976,156451,159443,156451,174086,493655,145353,56792,-5986,,41673,6682,73793,-37237,,415711,,639684,208877,,98,1104817,159676,-88141,-73398,448359,254677,434707,2219362,-3500,2364715,-37237,21.95,9,253033,211340,21.87,8,25.046,1561552200,1572280200.0,1571761800.0,1.85,3.698,23.500572,-1.5605717,-0.06640569,28.9,-6.959999,-0.24083042,20.94,1.0,0.04775549,11.85946,587522496,2,0.87598825,-0.42000008,-1.8783545,22.34,21.81,22.26,22.36,21.94,1569336247,22735,26578600,15,666078,0.75,0.033542037,5.932937,24.061087,-2.1210861,-0.08815421,0.007951509861317,0.652636778275217,0.23488390248589505,248.45382889692837
SCS,241200,-13200,-81400,16400,261300,-20800,-66400,-24000,8500,18700,,2355300,135800,,81600,,-64300,187300,-2700,240800,1087900,163900,37900,119300,-37500,224800,,482900,56900,,197300,126000,126000,126000,401900,489700,187300,321300,-,15500,41100,40400,214500,-47300,-7500,455500,53700,880700,854400,,2700,2142400,131200,122300,-271600,948600,595200,1292600,3255900,-23400,3443200,-47300,19.15,13,1577616,676573,19.12,8,7.584,1568982600,1568982600.0,1568982600.0,1.46,1.14,16.082285,3.0527153,0.1898185,19.65,-0.5149994,-0.02620862,13.96,5.175,0.37070203,13.106164,2240938240,2,2.5230749,-0.0049991608,-0.02611892,19.36,18.9896,19.13,19.14,19.135,1569336438,420689,88820600,15,849800,0.56,0.029258098,16.785088,16.525,2.6100006,0.15794255,0.0076172982393723975,1.5210637797128737,0.14827018121911037,650.8301115241636
SWM,65700,7300,-27000,71100,93800,-13100,-18300,-4900,8000,-1100,-,762800,300,,60000,-300,-53200,136700,-3800,338100,278500,105500,10700,281100,-28200,151500,,618800,51900,,-61100,93900,94800,94500,164700,-61300,136700,25900,-3600,2200,19200,1600,146300,-124500,,340300,15200,608200,126600,,3300,1466500,139100,-120900,-27500,429200,143500,908600,904600,-31200,1041300,-124500,38.37,22,191166,141051,38.29,11,18.534,1565222400,1573491600.0,1572969540.0,3.73,2.783,34.67057,3.719429,0.107279144,41.58,-3.1900024,-0.076719634,24.35,14.039999,0.5765913,10.292225,1186101248,2,2.0713284,0.48999786,1.2928703,38.47,38.09,38.17,37.9,38.39,1569336423,18374,30896100,15,557900,1.75,0.04617414,13.794466,34.494274,3.8957253,0.112938315,0.004565333488692747,1.6286072772898368,0.16938519447929737,1139.0581465475848
SXI,72603,-20035,-34367,65515,93145,-16457,7647,18223,-6803,-16558,-,523519,14140,,30881,20725,-9826,82827,-1931,281503,268060,65613,18424,118660,-10760,88645,,197610,2452,,4800,67914,47189,67914,121211,64150,82827,37377,-,109412,,14694,118351,-137278,-,148024,,818282,184733,,1432,921889,73346,-38201,-49671,333873,141615,457576,708752,-17214,791579,-461460,73.69,10,83950,87925,73.14,11,37.643,1566864000,1572624000.0,1572274740.0,5.41,5.381,68.14114,5.2588577,0.07717595,109.77,-36.369995,-0.3313291,59.28,14.120003,0.23819168,13.567469,913081344,2,1.9498976,-0.4399948,-0.595876,74.4,73.4,73.81,73.84,73.4,1569335769,6407,12439800,15,464313,0.78,0.01056338,13.640588,70.334206,3.065796,0.043588974,0.007068039679094519,0.9854903911800875,0.14626771165140756,1153.49364245388
UFPI,136901,3529,-95862,178540,27316,-618,-8512,-84304,-5213,1245,60884,3896286,2668,,61342,,-22072,200659,-464,224117,592894,197853,45441,48846,-8893,563165,-9660,202130,,15281,54261,145202,152412,148598,357580,800440,200659,24597,-4193,-66,32462,3245,46564,-5938,,354710,,839917,392235,14755,148,1647548,116685,4393,-121232,995278,310170,558864,4288521,-2806,4489180,-5938,39.93,8,301483,296714,39.86,8,19.023,1571934600,1571934600.0,1571934600.0,3.16,2.619,39.483143,0.51685715,0.013090578,42.8,-2.7999992,-0.065420546,24.14,15.860001,0.6570009,12.658228,2454668032,2,2.1027176,0.5400009,1.3684767,40.0,39.46,39.76,39.46,40.0,1569336450,59331,61366700,15,1073403,0.38,0.009630005,15.2730055,35.903114,4.0968857,0.11410948,0.004835097862521531,0.5206469517972281,0.13843635614955427,546.7965267598983
VIVO,6260,3912,-4201,129193,59763,2691,-4447,-1142,4124,323,,83110,130,1239,7924,,-21170,44635,-298,54637,130461,30380,6531,23113,-1520,41993,,44930,1722,,-4500,23849,23849,23849,32336,97668,44635,2857,-,,,335,6856,-3377,,29995,16870,49602,68956,,5250,251377,34783,-27593,-4201,139053,24173,75959,168936,-14255,213571,-3377,9.99,14,291816,282990,9.97,11,4.419,1564531200,1510579800.0,1510147800.0,0.51,0.6,9.904,0.076999664,0.0077746026,19.84,-9.859,-0.4969254,8.96,1.0209999,0.113950886,19.57059,426303488,2,2.2586558,0.015999794,0.1605599,10.04,9.95,9.99,9.965,9.981,1569336357,70695,42711500,15,175418,0.25,0.025087807,16.634998,11.988841,-2.007841,-0.16747583,0.006625616051882982,0.4330171362117913,0.13595526114765874,1996.0738489776234
VSH,218322,-158067,-229899,1436011,686032,-62000,-62433,-80182,-2277,43075,14422,2146165,,,161863,,-46509,469786,-14003,147480,888524,416776,70239,65688,-36680,479660,460705,494509,,2286,-510980,345758,346537,345758,397020,1169216,469786,140143,-16146,-2058,,184850,582913,-6791,,969001,,-61258,406931,78286,,3106198,258506,-575932,269429,1783886,644106,1721528,2564903,-53010,3034689,-6791,17.39,40,827900,1036740,17.37,14,10.315,1564504200,1572625800.0,1572280200.0,1.26,2.041,16.301144,1.0488567,0.06434252,22.94,-5.59,-0.24367917,14.36,2.9900007,0.20821732,13.769842,2521718528,2,1.6820166,-0.07999992,-0.45897835,17.75,17.35,17.48,17.43,17.35,1569336467,56810,132348000,15,1382384,0.35,0.02008032,8.500735,17.321087,0.028913498,0.0016692658,0.007833439115060296,1.2453327006099608,0.2501171888563525,830.9644012944984
WDR,26253,116219,-2566,311264,231997,55570,-12855,,-18007,56444,-,720161,12321,,28278,,-81215,223248,,-,440140,238292,55480,38899,-6461,,12909,94854,,11463,-,183588,182812,183588,164427,737581,223248,29300,-2270,,69726,237549,16190,331,,63429,,1198445,191243,498913,,1344079,357015,-311788,10343,1105481,338122,449166,937053,15044,1160301,-627256,17.3,14,856300,828139,17.29,8,11.622,1572366600,1572366600.0,1572366600.0,1.61,2.06,16.512857,0.83714294,0.050696433,21.63,-4.279999,-0.19787328,15.09,2.2600002,0.14976807,10.776398,1250555008,2,1.4928584,0.17000008,0.9895232,17.405,17.23,17.25,17.18,17.35,1569336450,113116,73075296,15,883450,1.0,0.058207218,8.422331,17.132898,0.21710205,0.012671648,0.01133268074617173,0.5084226611579603,0.20780802535514178,1077.7849954451474
WERN,97781,41986,-519872,107455,33930,18799,-33753,,7559,4068,-,1825767,,,230151,,-23013,214517,-374,,632147,223881,55733,,-2695,10060,,50000,,,28461,168148,168148,168148,379435,1264753,214517,139284,,17598,16614,30004,458391,-16073,104546,1487562,,1413746,82933,,75000,2083504,418159,-67612,-331374,456658,310360,818751,2243397,9364,2457914,-257253,34.3,10,478416,630028,34.22,12,14.919,1564099200,1571673600.0,1571237940.0,2.38,2.556,32.648285,1.6517143,0.050591152,36.53,-2.2299995,-0.061045706,27.27,7.029999,0.25779238,14.411764,2355236864,2,2.2990818,-0.049999237,-0.1455582,34.67,34.16,34.44,34.35,34.3,1569336468,51853,69195000,15,1264753,0.36,0.01048035,13.419405,32.498913,1.8010864,0.0554199,0.00910510875063227,0.6473603936895188,0.13294927942452003,958.225903754159
WGO,81039,16768,-28668,86223,2342,-33603,-37739,-46429,-1278,20345,-,1716993,,,19177,,-,162569,,274370,299836,142640,40283,265717,-18246,195128,,291441,1959,,14532,102357,102357,102357,164585,-5642,162569,36628,-501,-2231,,57053,21734,892,,101193,,768816,127939,,,1051805,83346,-5188,-111761,371938,204185,517360,1854260,-19929,2016829,-346482,39.51,9,600766,415428,39.43,8,19.14,1560961800,1571661000.0,1571142600.0,3.98,3.46,34.652,4.673401,0.1348667,42.08,-2.7546005,-0.06546104,19.77,19.5554,0.98914516,9.880754,1251196672,2,2.0546188,-0.77459717,-1.9316638,40.45,39.29,39.84,40.1,39.3254,1569336467,67279,31618000,15,534445,0.42,0.010473816,11.365723,35.156303,4.169098,0.118587494,0.01313897147194636,0.9680322577627258,0.1915201751349531,620.3781639395309
WIRE,36706,4290,-26181,60822,178405,55043,-6468,-10002,165,627,-,1098961,,,16513,,-1668,99510,,,189722,101684,23534,,-300,102367,,,,,,78150,78150,78150,236742,720456,99510,165,,,,,24032,,,298658,,750421,90212,,,818060,81590,-482,-26065,519237,73572,97604,1189173,4348,1288683,-,56.68,8,115183,76928,56.53,10,36.002,1564585200,1493668800.0,1493409600.0,3.99,3.819,55.162285,1.4877167,0.026969817,61.68,-5.029999,-0.08154991,40.96,15.690002,0.3830567,14.197995,1184302208,2,1.5735238,0.6100006,1.0885092,56.9431,56.37,56.37,56.04,56.65,1569336432,10060,20905600,15,720456,0.08,0.0014275517,14.833727,55.95884,0.6911621,0.012351259,0.0036797795805908464,0.1354753100813929,0.10847296712082348,919.0019640206319
WNC,153113,24038,-34009,629039,132690,-58831,-39539,-18713,32653,3928,744,1983627,,,39183,,-17768,136023,,311084,283651,96004,26583,218228,-28759,184404,,503018,,,-82463,69421,69421,69421,190936,-55463,136023,18671,-476,3060,38076,75656,55136,-3343,,206991,,150244,128160,,1880,1304393,112471,-158129,-13173,549419,271676,830544,2131255,-40019,2267278,-306178,14.84,40,428333,441998,14.83,9,9.173,1564570800,1572652800.0,1572307200.0,1.51,1.098,14.346,0.47399998,0.03304057,18.9,-4.08,-0.21587302,12.25,2.5699997,0.20979589,9.814569,807046784,2,1.615611,-0.03999996,-0.26917875,14.925,14.82,14.86,14.86,14.82,1569336409,35681,54456600,15,473849,0.315,0.021197846,13.497267,14.618116,0.20188332,0.013810487,0.00811651847526287,1.7527609006244604,0.14650447716466639,355.95404886387996
WOR,393517,47750,-84499,283177,92363,-29604,73346,-33649,-116875,-21770,,3279601,,,95602,,-52334,141563,,334607,479955,206456,43183,196059,-38063,484280,56693,598356,214930,117148,-1394,153455,163273,153455,510486,300580,141563,20623,-10726,,9276,15595,266026,-43464,,578664,,591533,338392,,150943,2510796,197859,-238938,11475,1165913,698020,1562402,3617993,64893,3759556,-43464,37.15,14,353800,263731,37.1,9,14.986,1569429000,1569429000.0,1569429000.0,4.16,2.61,36.426,0.6340027,0.017405225,46.66,-9.599998,-0.20574364,31.42,5.6400013,0.17950355,8.908654,2060372992,2,2.4729748,-0.5299988,-1.4099462,37.72,37.06,37.52,37.59,37.06,1569336369,29977,56153100,15,831246,0.92,0.024474595,14.199235,37.748623,-0.6886215,-0.018242296,0.004696641859487722,1.879590398028983,0.18460840713819976,548.036255345046
WWW,202300,3800,-21700,201400,143100,-337900,-95000,-44500,40600,-37100,107600,1317900,3100,,31500,,-28600,246400,-8700,424400,921300,227400,27100,676400,-24500,317600,,437700,,-,-213700,192600,200300,200100,361200,-114800,246400,83700,-2700,-2700,,3800,280400,-88300,15300,130900,,1169700,659600,,7400,2183100,97500,-404500,-22200,867700,473100,1191500,1992800,-19000,2239200,-492700,28.21,8,860266,847806,28.16,8,9.896,1565173800,1573489800.0,1572953400.0,2.48,1.88,26.38943,1.7855701,0.06766233,39.77,-11.595001,-0.29155144,23.05,5.125,0.22234274,11.360887,2497905152,2,2.8471098,-0.20499992,-0.72233945,28.61,28.125,28.57,28.38,28.175,1569336434,43133,85252496,15,986000,0.36,0.012684991,14.986702,30.064566,-1.8895664,-0.06285028,0.009944647251149104,1.20841784989858,0.20294117647058824,1115.5346337977849
